类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
清热剂?清脏腑热,龙胆泻肝汤,龙胆草、黄芩、栀子、泽泻、木通、车前子、当归、生地、柴胡、甘草,水煎服,清泻肝胆实火，清利肝经湿热,肝胆实火上炎证：头痛目赤，胁痛口苦，耳聋耳肿；肝经湿热下注证：阴肿阴痒，小便淋浊，带下黄臭,肝胆火盛，湿热下注,君：龙胆草；臣：黄芩、栀子；佐：泽泻、木通、车前子、当归、生地、柴胡；使：甘草,泻肝火，利湿热，养阴血，疏肝气,要点：胁痛口苦、带下黄臭；脾胃虚寒慎用
清热剂?清脏腑热,左金丸,黄连、吴茱萸（6:1）,为丸服,清肝泻火，降逆止呕,肝火犯胃证：胁肋疼痛，嘈杂吞酸，呕吐口苦，舌红苔黄，脉弦数,肝郁化火，横逆犯胃，胃失和降,君：黄连；臣：吴茱萸,辛开苦降，清肝和胃，寒热并用,要点：吞酸呕吐、胁痛口苦；胃寒呕吐禁用
清热剂?清脏腑热,泻白散,地骨皮、桑白皮、甘草、粳米,水煎服,清泻肺热，平喘止咳,肺热喘咳证：气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数,肺有伏火郁热，肺失清肃,君：桑白皮；臣：地骨皮；佐：粳米、甘草；使：甘草,清泻肺热，养胃和中，清润不寒,要点：气喘咳嗽、皮肤蒸热；风寒喘咳禁用
清热剂?清脏腑热,苇茎汤,苇茎、薏苡仁、瓜瓣、桃仁,水煎服,清肺化痰，逐瘀排脓,肺痈，热毒壅滞，痰瘀互结证：身有微热，咳嗽痰多，甚则咳吐腥臭脓血，胸中隐隐作痛,热毒痰瘀，壅滞于肺，蓄结成痈,君：苇茎；臣：薏苡仁、瓜瓣；佐：桃仁,清肺化痰，逐瘀排脓，滑利通窍,要点：咳吐腥臭脓血、胸中隐痛
清热剂?清脏腑热,清胃散,生地、当归、丹皮、黄连、升麻,水煎服,清胃凉血,胃火牙痛：牙痛牵引头痛，面颊发热，牙龈红肿溃烂，口气热臭，口干舌燥,胃有积热，循经上攻，伤及血分,君：黄连；臣：升麻；佐：生地、丹皮、当归,清胃凉血，升散郁火,要点：牙痛口臭、牙龈红肿；肾虚牙痛慎用
清热剂?清脏腑热,玉女煎,石膏、熟地、麦冬、知母、牛膝,水煎服,清胃热，滋肾阴,胃热阴虚证：头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干,胃热阴虚，虚火上炎,君：石膏；臣：熟地、知母、麦冬；佐：牛膝,清胃滋肾，水火并调，引火下行,要点：牙痛齿松、烦热干渴；脾胃虚寒慎用
清热剂?清脏腑热,芍药汤,芍药、当归、黄连、槟榔、木香、甘草、大黄、黄芩、官桂,水煎服,清热燥湿，调气和血,湿热痢疾：腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤,湿热壅滞肠中，气血瘀滞,君：芍药；臣：黄连、黄芩；佐：当归、木香、槟榔、大黄、官桂；使：甘草,清热燥湿，调气和血，通因通用,要点：便脓血、里急后重；寒湿痢疾禁用
清热剂?清脏腑热,白头翁汤,白头翁、黄柏、黄连、秦皮,水煎服,清热解毒，凉血止痢,热毒痢疾：腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水,热毒深陷血分，壅滞大肠,君：白头翁；臣：黄连、黄柏；佐：秦皮,清热解毒，凉血止痢，专清血分热毒,要点：下痢赤多白少、里急后重；虚寒痢疾禁用
清热剂?清虚热,青蒿鳖甲汤,青蒿、鳖甲、生地、知母、丹皮,水煎服,养阴透热,温病后期，邪伏阴分证：夜热早凉，热退无汗，舌红少苔，脉细数,温病后期，余热未清，阴液耗伤,君：鳖甲、青蒿；臣：生地、知母；佐：丹皮,养阴透热，入阴搜邪，透热外出,要点：夜热早凉、舌红少苔；阴虚风动慎用
清热剂?清虚热,清骨散,银柴胡、胡黄连、秦艽、鳖甲、地骨皮、青蒿、知母、甘草,水煎服,清虚热，退骨蒸,肝肾阴虚，虚火内扰证：骨蒸潮热，或低热日久不退，形体消瘦，困倦盗汗,肝肾阴虚，虚火内炽，骨蒸劳热,君：银柴胡、胡黄连；臣：地骨皮、知母、青蒿；佐：秦艽、鳖甲；使：甘草,清虚热，退骨蒸，养阴透热,要点：骨蒸潮热、盗汗；实热禁用
清热剂?清虚热,当归六黄汤,当归、生地黄、熟地黄、黄芩、黄柏、黄连、黄芪,水煎服,滋阴泻火，固表止汗,阴虚火旺盗汗：发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤,阴虚火旺，迫津外泄，卫气不固,君：当归、生地、熟地；臣：黄芩、黄连、黄柏；佐：黄芪,滋阴降火，固表止汗，补泻兼施,要点：盗汗、面赤心烦；气虚盗汗慎用
祛暑剂,香薷散,香薷、白扁豆、厚朴,水煎服,祛暑解表，化湿和中,阴暑：恶寒发热，头重身痛，无汗，腹痛吐泻，胸脘痞闷,夏感风寒，内伤湿滞，暑湿困脾,君：香薷；臣：厚朴；佐：白扁豆,祛暑解表，化湿和中，散寒除湿,要点：恶寒无汗、腹痛吐泻；阳暑禁用
祛暑剂,新加香薷饮,香薷、银花、鲜扁豆花、厚朴、连翘,水煎服,祛暑解表，清热化湿,暑温夹湿，复感于寒：发热头痛，恶寒无汗，口渴面赤，胸闷不舒,暑湿内蕴，寒邪束表，热重于湿,君：香薷；臣：银花、连翘、扁豆花；佐：厚朴,祛暑解表，清热化湿，偏于清热,要点：发热口渴、恶寒无汗；寒湿禁用
祛暑剂,六一散,滑石、甘草（6:1）,水煎服,清暑利湿,暑湿证：身热烦渴，小便不利，或泄泻,暑湿内阻，膀胱气化不利,君：滑石；臣：甘草,清暑利湿，甘寒生津，滑利小便,要点：身热烦渴、小便不利；阴虚小便不利慎用
祛暑剂,桂苓甘露饮,茯苓、甘草、白术、泽泻、官桂、石膏、寒水石、滑石、猪苓,水煎服,清暑解热，化气利湿,暑湿证：发热头痛，烦渴引饮，小便不利，霍乱吐下,暑热湿盛，水湿内停，气化失司,君：滑石、石膏、寒水石；臣：猪苓、茯苓、泽泻；佐：白术、官桂；使：甘草,清暑利湿，化气行水，寒热并用,要点：发热烦渴、小便不利；脾胃虚寒慎用
祛暑剂,清暑益气汤,西洋参、石斛、麦冬、黄连、竹叶、荷梗、知母、甘草、粳米、西瓜翠衣,水煎服,清暑益气，养阴生津,暑热气津两伤证：身热汗多，口渴心烦，小便短赤，体倦少气，精神不振,暑热耗气伤津，气阴两虚,君：西瓜翠衣、西洋参；臣：石斛、麦冬、知母；佐：黄连、竹叶、荷梗、粳米；使：甘草,清暑益气，养阴生津，清补并用,要点：汗多口渴、体倦少气；夹湿者慎用
祛痰剂?润燥化痰,贝母瓜蒌散,贝母、瓜蒌、天花粉、茯苓、橘红、桔梗,水煎服,润肺清热，理气化痰,燥痰咳嗽：咳嗽呛急，咯痰不爽，涩而难出，咽喉干燥哽痛,肺燥有痰，肺失清润，气机不利,君：贝母、瓜蒌；臣：天花粉；佐：茯苓、橘红、桔梗,润肺化痰，理气开结，清润不滞,要点：干咳痰黏、咽干；湿痰咳嗽禁用
祛痰剂?温化寒痰,苓甘五味姜辛汤,茯苓、甘草、干姜、细辛、五味子,水煎服,温肺化饮,寒饮咳嗽：咳痰量多，清稀色白，胸膈不快，舌苔白滑，脉弦滑,寒饮停肺，肺失宣降,君：干姜、细辛；臣：茯苓；佐：五味子；使：甘草,温肺化饮，散收并用，温散不伤正,要点：痰稀色白、苔白滑；热痰咳嗽禁用
祛痰剂?化痰息风,半夏白术天麻汤,半夏、天麻、茯苓、橘红、白术、甘草、生姜、大枣,水煎服,化痰息风，健脾祛湿,风痰上扰证：眩晕头痛，胸膈痞闷，恶心呕吐，舌苔白腻，脉弦滑,脾湿生痰，肝风内动，风痰上扰清空,君：半夏、天麻；臣：白术、茯苓；佐：橘红；使：甘草、姜枣,化痰息风，健脾祛湿，标本兼顾,要点：眩晕头痛、苔白腻；肝阳上亢眩晕慎用
消食剂?消食化滞,保和丸,山楂、神曲、半夏、茯苓、陈皮、连翘、莱菔子,为丸服,消食和胃,食滞胃脘证：脘腹痞满胀痛，嗳腐吞酸，恶食呕逆，或大便泄泻,饮食不节，食积内停，气机阻滞,君：山楂；臣：神曲、莱菔子；佐：半夏、茯苓、陈皮、连翘,消食和胃，清热祛湿，消食不伤胃,要点：脘腹胀满、嗳腐吞酸
消食剂?健脾消食,健脾丸,白术、木香、黄连、甘草、白茯苓、人参、神曲、陈皮、砂仁、麦芽、山楂、山药、肉豆蔻,为丸服,健脾和胃，消食止泻,脾虚食积证：食少难消，脘腹痞闷，大便溏薄，倦怠乏力，苔腻微黄,脾胃虚弱，食积内停，运化失常,君：人参、白术、茯苓；臣：山楂、神曲、麦芽；佐：木香、砂仁、陈皮、山药、肉蔻、黄连；使：甘草,健脾消食，清热祛湿，补消兼施,要点：食少难消、大便溏薄
驱虫剂,乌梅丸,乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏,为丸服,温脏安蛔,蛔厥证：腹痛时作，手足厥冷，烦闷呕吐，时发时止，得食即呕，常自吐蛔,上热下寒，蛔虫内扰，气机逆乱,君：乌梅；臣：蜀椒、细辛；佐：附子、干姜、桂枝、黄连、黄柏、人参、当归,温脏安蛔，清上温下，酸苦辛并用,要点：腹痛吐蛔、手足厥冷；湿热蛔厥慎用
痈疡剂,阳和汤,熟地、麻黄、鹿角胶、白芥子、肉桂、生甘草、炮姜炭,水煎服,温阳补血，散寒通滞,阴疽：漫肿无头，皮色不变，酸痛无热，口中不渴，舌淡苔白，脉沉细或迟细,阳虚血弱，寒凝痰滞，痹阻经络,君：熟地、鹿角胶；臣：肉桂、炮姜炭；佐：麻黄、白芥子；使：甘草,温阳补血，散寒通滞，温补不壅滞,要点：阴疽漫肿、皮色不变；阳证痈疡禁用
